"","x"
"SHORT_CIRCUIT_EXPLAIN_Q_4",-0.622529613345992
"SHORT_CIRCUIT_EXPLAIN_Q_5",0.640037355245997
"SHORT_CIRCUIT_X_Q",-0.475423696715075
"ST_25b1",2.39789527279837
"ST_25b2",0.693147180559945
"ST_31b",1.09861228866811
"ST_52a",0.570544858467613
"ST_54b2",2.33537491581704
"ST_54b3",-0.171850256926659
"ST_58",-1.54044504094715
"ST_59",-0.22314355131421
"SWITCH_OPEN_EXPLAIN_Q",0.371563556432483
"SWITCH_TABLE_EXPLAIN_Q1",0.505094949057006
"SWITCH_TABLE_EXPLAIN_Q2",-1.18958406687384
"SWITCH_TABLE_EXPLAIN_Q3",0.0454623740767574
"TERMINAL_STATE_EXPLAIN_Q",1.73460105538811
"VB_1",-0.111225635110224
"VB_12d",-0.7339691750802
"VB_15a",-0.570544858467613
"VB_15b",0
"VB_15c",0.955511445027436
"VB_22c",1.6094379124341
"VB_29",1.25276296849537
"VB_40a",2.04769284336526
"VB_42",0.111225635110224
"VB_5a",-0.22314355131421
"VB_5b",0.451985123743057
"VOLTAGE_AND_GAP_DISCUSS_Q",0.433635985074861
"VOLTAGE_DEFINE_Q",1.6199092123014
"VOLTAGE_DIFF_DISCUSS_1_Q",1.33500106673234
"VOLTAGE_DIFF_DISCUSS_2_Q",1.2776605201171
"VOLTAGE_GAP_EXPLAIN_WHY1",1.81010860789625
"VOLTAGE_GAP_EXPLAIN_WHY3",-0.656779536389071
"VOLTAGE_GAP_EXPLAIN_WHY4",-0.217723483844871
"VOLTAGE_GAP_EXPLAIN_WHY5",-0.780158557549575
"VOLTAGE_GAP_EXPLAIN_WHY6",-0.78845736036427
"VOLTAGE_INCOMPLETE_CIRCUIT_2_Q",3.15273602236366
