item_code;process_6;process_2;IRT_difficulty;KNN;RBF_SVM;Rand_Forest;AdaBoost;Naive_Bayes;QDA
MX_11a;undefined;Transferir;-0,934;0,643;0,643;0,1;0,3;0,643;0,643
MX_11c;undefined;Transferir;0,363;0,767;0,643;0,643;1;0,1;0,5
MX_11e;Crear;Transferir;2;0,643;0,643;0,643;0,643;0,643;0,643
MX_11f;Analizar;Transferir;0,654;1;1;0,333;0,333;0,733;1
MX_16a;Comprender;Transferir;2;1;1;1;1;1;0,667
MX_18;Analizar;Transferir;2;1;0,333;0,333;0,333;0,333;0,733
MX_19;undefined;Transferir;0,511;1;0,643;0,643;1;0,3;0,5
MX_22a;Comprender;Transferir;1;0,857;1;1;1;0,4;0,667
MX_24;undefined;Transferir;1;0,5;0,643;0,643;0,643;0,1;0,1
MX_36a;undefined;Transferir;0,154;0,857;0,857;1;0,857;0;0,667
MX_36b;undefined;Transferir;-1;0,643;0,643;0,643;0,5;0,5;0,5
MX_41;Evaluar;Transferir;0,272;0,2;0,2;0,333;0,733;0,333;0,5
MX_42a;Comprender;Transferir;0;1;0,767;0,1;0,5;0,643;1
MX_46b;Analizar;Transferir;1;0,643;0,643;0,643;0,643;0,5;0,643
MX_47b;Analizar;Transferir;0,969;0,733;0,333;0,333;1;1;0,5
MX_49;undefined;Transferir;2;0,733;0,333;0,333;0,333;0,333;0,733
MX_52b;undefined;undefined;1;0,733;0,733;0,333;0,733;0,2;0,333
MX_53;Recordar;Retener;0,898;0,643;0,643;0,643;0,5;0,3;0,3
PS_12;undefined;undefined;1;0,1;0,1;0,1;0,1;0,5;0,1
PS_15bp;Comprender;Transferir;0,154;0,767;1;0,643;0;0,1;0,5
PS_26p;Comprender;Transferir;-0,511;0,733;1;0,333;1;0,733;0,733
PS_2a;Comprender;Transferir;0,074;1;0,767;0,1;1;0,643;1
PS_44;Comprender;Transferir;-1;0,643;1;0,643;0,5;0,643;0,643
PS_45b;undefined;Transferir;3;0,1;0,1;0,1;0,1;0,1;0,1
PS_46b;Comprender;Transferir;-1;1;1;0;1;1;0,667
PS_4ap;undefined;Transferir;-0,511;1;1;0,333;0,733;0,2;0,333
PS_4bp;Comprender;Transferir;-0,405;0,733;1;0,5;0,2;0,333;0,333
PS_51a;Comprender;Transferir;-0,201;1;0,767;0,5;1;0,643;1
PS_51b;Comprender;Transferir;-0,363;1;1;1;1;0,333;0,333
SE_10;Comprender;Transferir;-0,201;1;0,767;0,1;0,643;0,5;0,767
SE_16b2;undefined;Transferir;0,847;0,857;1;1;1;0,4;0,667
SE_22a;undefined;Transferir;-0,619;1;0,767;1;0,3;0,5;0,767
SE_22b;Comprender;Transferir;-2;1;1;1;1;1;1
SE_22c;undefined;Transferir;0,363;0,733;0,333;0,333;1;0,333;0,2
SE_24a;undefined;undefined;3;1;1;1;1;1;1
SE_25a;Analizar;Transferir;2;0,643;0,643;0,643;0,643;0,643;0,643
SE_31b;undefined;Transferir;-0,969;0,333;0,333;0,333;0,333;0,333;0,333
SE_3c;Comprender;Transferir;0,811;0,857;1;1;0,857;0;1
SE_45;undefined;Transferir;2;0,857;1;1;1;1;1
SE_46;undefined;Transferir;0,405;1;0,733;0,333;0,733;0,733;0,733
SE_47b;undefined;Transferir;0,405;0,4;0;0;0;1;0,667
SE_48;Comprender;Transferir;0,302;0,857;0;0;1;0,857;0,857
SE_4a;Recordar;Retener;0,619;0,667;1;1;0,667;0;0,667
SE_51b;undefined;Transferir;-0,201;1;0,767;0,1;0,5;0,1;0,1
ST_25b1;Recordar;Retener;2;0;0;0;0;0;0
ST_25b2;Recordar;Retener;0,619;0,333;0,333;0,333;0,333;0,733;0,333
ST_31b;Recordar;Retener;1;1;0,643;0,643;0,643;0,5;0,643
ST_52a;Comprender;Transferir;0,405;0,767;0,1;0,1;0,767;0,5;0,5
ST_54b2;Recordar;Retener;2;0,2;0,333;0,333;0,333;0,5;0,5
ST_54b3;Recordar;Retener;0,051;1;1;1;0,667;0,4;0,667
ST_58;Recordar;Retener;-1;0,643;0,643;1;0,643;0,643;0,643
ST_59;undefined;Transferir;-0,302;1;1;0,1;0,643;0,643;1
VB_1;Recordar;Retener;-0,1;1;1;0,333;1;0,333;0,333
VB_12d;Comprender;Transferir;-0,657;0,333;0,733;0,733;0,333;0,333;0,733
VB_15a;Analizar;Transferir;-0,302;0;0,4;1;0,667;0,4;0,4
VB_15b;Analizar;Transferir;0,051;0,333;0,333;0,333;0,733;0,2;0,333
VB_15c;Crear;Transferir;0,847;0,5;0,333;0,333;0,2;0,333;0,733
VB_22c;Comprender;Transferir;2;0,3;0,643;0,643;1;0,643;0,5
VB_29;Recordar;Retener;1;0,667;1;1;1;0,4;0,667
VB_40a;undefined;Transferir;2;0,643;0,643;0,643;0,643;0,643;0,643
VB_42;undefined;Transferir;0;0,767;0,5;0,1;0,1;1;0,767
VB_5a;Comprender;Transferir;-0,1;0,3;0,643;0,643;0,3;0,3;0,3
VB_5b;undefined;Transferir;0,405;0,733;0,733;0,333;1;0,333;1
